Preparing X for polydeg: 1... Time: 0:0:3
Batch size;Score;Time
4;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;
5;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;
6;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;
7;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;
8;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;13.90356;
-------------------------------------------------------------------------------------------
Min score: 12.20193; polydeg: 6; alpha 1: 0.00100; alpha 2: 0.00001
learning rate: 0.0012000000000000003; batch size: 2048; train steps: 10000
-------------------------------------------------------------------------------------------
Max score: 13.90356; polydeg: 1; alpha 1: 0.00000; alpha 2: 0.00000
learning rate: 0.001; batch size: 128; train steps: 100
-------------------------------------------------------------------------------------------
Calculation the dependence of the predicted critical temperature on the true one...
Time: 0:0:25; Test MAE: 12.24457
Total time of all calculations: 1:49:45
Drawing plots... Time: 0:0:12
